City,Violations_Count,Violations_Count(%),Acum
NITEROI,100269,2.424578463231857,0.024245784632318572
BELO HORIZONTE,76677,1.8541064818162054,0.04278684945048063
BRASILIA,73745,1.7832085566928293,0.06061893501740892
RIO DE JANEIRO,71625,1.7319453911875233,0.07793838892928415
BARRA DO TURVO,64338,1.5557403501322566,0.09349579243060671
FEIRA DE SANTANA,60866,1.4717848262480948,0.10821364069308766
VITORIA DA CONQUISTA,56226,1.359586199859123,0.12180950269167888
CAMPO GRANDE,50156,1.2128091174925155,0.13393759386660403
SALVADOR,47831,1.1565889006058,0.14550348287266204
FORTALEZA,43890,1.0612926103905118,0.15611640897656717
SAO LOURENCO DA SERRA,41577,1.005362562365147,0.16617003460021865
CANDIDO SALES,40290,0.974241951985275,0.1759124541200714
GOIANIA,38312,0.9264124513392865,0.18517657863346426
CONTAGEM,38060,0.9203189052509199,0.19437976768597345
MIRACATU,35108,0.8489373653586257,0.20286914133955972
DOURADOS,33425,0.8082411825541775,0.2109515531651015
RONDONOPOLIS,32160,0.7776525484201152,0.21872807864930266
GUARULHOS,32157,0.7775800062047775,0.22650387871135044
UBERLANDIA,27844,0.6732884812876146,0.2332367635242266
PORTO VELHO,27707,0.6699757201205265,0.23993652072543187
CAMPOS DOS GOITACAZES,27581,0.6669289470763432,0.2466058101961953
CASCAVEL,27053,0.6541615171769085,0.25314742536796436
CAXIAS DO SUL,25830,0.6245884740575739,0.2593933101085401
SERRA,25599,0.6190027234765711,0.2655833373433058
NOVA ALVORADA DO SUL,24917,0.6025114598564679,0.2716084519418705
SAO GONCALO,23640,0.5716326568610548,0.27732477851048104
ITABORAI,22909,0.5539565370571026,0.2828643438810521
DUQUE DE CAXIAS,21300,0.5150497288976509,0.28801484117002857
SIMOES FILHO,20641,0.4991146222618034,0.2930059873926466
CARIACICA,19817,0.4791896937823825,0.29779788433047044
CAMPINA GRANDE DO SUL,19368,0.46833254222017384,0.3024812097526722
TERESINA,18616,0.4501486269088577,0.30698269602176076
VARZEA GRANDE,17846,0.4315294583055154,0.3112979906048159
ANAPOLIS,17448,0.42190552440404755,0.31551704584885637
VILHENA,17405,0.4208657526508739,0.3197257033753651
JEQUIE,16022,0.38742379138019545,0.3235999412891671
RECIFE,15685,0.37927488252392744,0.32739269011440636
NOVA IGUACU,15661,0.3786945448012259,0.33117963556241864
CAJATI,15533,0.37559941028015076,0.33493562966522017
CONSELHEIRO LAFAIETE,15447,0.37351986677380344,0.3386708283329582
VIANA,15210,0.36778903176212535,0.3423487186505795
CONCEICAO DO JACUIPE,15200,0.36754722437766635,0.34602419089435615
MANAUS,14570,0.35231335915674994,0.3495473244859236
ARAGUAINA,14206,0.3435115703624427,0.35298244018954805
JI PARANA,14064,0.340077905503125,0.3563832192445793
FOZ DO IGUACU,14013,0.33884468784238414,0.3597716661230031
CACHOEIRA PAULISTA,13718,0.33171137000084394,0.3630887798230115
RIO VERDE,13532,0.32721375264990665,0.3663609173495106
CARUARU,13400,0.324021895175048,0.36960113630126107
LINHARES,13394,0.32387681074437263,0.3728399044087048
MACAPA,13182,0.318750494193842,0.3760274093506432
MAIRIPORA,13108,0.3169611195488454,0.3791970205461317
SAO PAULO,12821,0.3100212476148724,0.3822972330222804
MUNDO NOVO,12540,0.3032264601115748,0.3853294976233962
ABADIANIA,12481,0.3017997965432667,0.38834749558882886
APARECIDA DE GOIANIA,12382,0.2994059034371227,0.3913415546232001
VACARIA,12033,0.29096682571950394,0.3942512228803951
GOVERNADOR VALADARES,12032,0.29094264498105804,0.3971606493302057
RIO BRANCO,11985,0.2898061502741008,0.4000587108329467
LUZIANIA,11459,0.27708708185155784,0.40282958165146227
TERESOPOLIS,11424,0.2762407560059514,0.4055919892115218
ITAPECERICA DA SERRA,11391,0.27544279163723673,0.40834641712789416
SAO JOSE DOS CAMPOS,11267,0.2724443800699452,0.41107086092859363
MOSSORO,11223,0.27138042757832564,0.4137846652043769
SAO LUIS,10919,0.26402948309077234,0.4164249600352846
CACERES,10716,0.2591207931862548,0.4190161679671472
BENTO GONCALVES,10650,0.25752486444882544,0.42159141661163546
BATAGUASSU,10635,0.257162153372137,0.42416303814535683
MARILIA,10592,0.25612238161896334,0.42672426196154645
PRIMAVERA DO LESTE,10477,0.2533415966976849,0.4292576779285233
PETROPOLIS,10453,0.25276125897498336,0.43178529051827313
SAO JOSE,10446,0.25259199380586206,0.43431121045633175
JATAI,10320,0.24954522076167876,0.4368066626639485
ARIQUEMES,10233,0.24744149651688552,0.4392810776291174
SAO SIMAO,10165,0.24579720630256438,0.44173904969214306
TEOFILO OTONI,10086,0.24388692796533834,0.4441779189717964
COXIM,9863,0.23849462329190285,0.44656286520471544
BOA VISTA,9818,0.23740649006183742,0.4489369301053338
JOINVILLE,9721,0.2350609584325852,0.4512875396896597
PETROLINA,9711,0.23481915104812617,0.45363573120014095
LAVRAS,9707,0.23472242809434257,0.45598295548108436
PONTA GROSSA,9553,0.23099859437367415,0.4582929414248211
SAO LEOPOLDO,9528,0.23039407591252664,0.46059688218394634
MIMOSO DO SUL,9450,0.22850797831374653,0.4628819619670838
SAO MATEUS,9390,0.22705713400699257,0.4651525333071537
SANTA RITA,9369,0.2265493384996287,0.46741802669215
BARREIRAS,9358,0.2262833503767238,0.4696808601959172
ICONHA,9322,0.22541284379267146,0.4719349886338439
SAO GABRIEL DO OESTE,9195,0.22234189001004226,0.47415840753394434
ATIBAIA,9164,0.2215922871182194,0.47637433040512656
PONTES E LACERDA,9157,0.2214230219490981,0.4785885606246175
UBERABA,9133,0.2208426842263965,0.4807969874668815
CAUCAIA,9072,0.21936765918119666,0.48299066405869345
CACHOEIRA ALTA,9063,0.21915003253518356,0.48518216438404527
FLORIANO,9038,0.2185455140740361,0.48736761952478563
CASTANHAL,9027,0.2182795259511312,0.48955041478429695
BALSAS,9019,0.21808608004356403,0.49173127558473256
GUIA LOPES DA LAGUNA,9010,0.21786845339755093,0.4939099601187081
SOBRAL,8988,0.21733647715174112,0.4960833248902255
MARABA,8981,0.21716721198261985,0.4982549970100517
ITAJAI,8819,0.2132499323543842,0.5003874963335956
SAO GONCALO DO AMARANTE,8790,0.2125486909394531,0.5025129832429901
LAGES,8746,0.21148473844783355,0.5046278306274684
GLORINHA,8729,0.21107366589425328,0.506738567286411
TRES RIOS,8695,0.21025152078709272,0.508841082494282
NATAL,8672,0.20969536380283701,0.5109380361323104
ARUJA,8667,0.2095744601106075,0.5130337807334164
BARRA DO PIRAI,8634,0.20877649574189286,0.5151215456908353
CAMPINA GRANDE,8608,0.2081477965422995,0.5172030236562584
SANTO ANTONIO DA PATRULHA,8557,0.20691457888155862,0.5192721694450739
JOAO PESSOA,8515,0.2058989878668309,0.5213311593237422
JABOATAO DOS GUARARAPES,8496,0.20543955383635878,0.5233855548621058
DIAMANTINO,8302,0.20074849057785438,0.5253930397678843
MACAIBA,8174,0.19765335605677925,0.5273695733284521
IPIXUNA DO PARA,8148,0.1970246568571859,0.5293398198970239
URUACU,8126,0.19649268061137615,0.5313047467031377
LAJEADO,8118,0.19629923470380894,0.5332677390501758
SANTA MARIA,8108,0.19605742731934991,0.5352283133233693
PASSO FUNDO,8103,0.1959365236271204,0.5371876785596404
SEABRA,8050,0.19465494448948778,0.5391342280045354
MORRINHOS,8015,0.19380861864388133,0.5410723141909741
