Infraction_Framing,Abbreviated_Infraction_Description,count,cumulative_count,cumulative_percentage
218 I,Transitar em velocidade superior à máxima permitida em até 20%,760721,760721,36.12623650705456
218 II,Transitar em velocidade superior à máxima permitida em mais de 20% até 50%,144377,905098,42.982623603215984
203 V,"Ultrapassar pela contramão linha de divisão de fluxos opostos, contínua amarela",100642,1005740,47.7620587634692
230 * V,Conduzir o veículo registrado que não esteja devidamente licenciado,95985,1101725,52.3203354656105
230 XVIII,"Conduzir o veículo em mau estado de conservação, comprometendo a segurança",67441,1169166,55.523072758615776
195,Desobedecer às ordens emanadas da autorid compet de trânsito ou de seus agentes,59062,1228228,58.327895789108766
230 XIII,Conduzir o veículo c/ equip do sistema de iluminação e de sinalização alterados,57670,1285898,61.06661347846115
162 I,Dirigir veículo sem possuir CNH/PPD/ACC,54341,1340239,63.64723872481277
167,Deixar o condutor de usar o cinto segurança,48832,1389071,65.96624448528539
230 X,Conduzir o veículo com equip obrigatório em desacordo com o estab pelo Contran,46638,1435709,68.18105835031082
167,Deixar o passageiro de usar o cinto segurança,39381,1475090,70.05124113727781
162 V,Dirigir veículo com validade de CNH/PPD vencida há mais de 30 dias,26787,1501877,71.32334154901152
230 XXII,"Conduzir o veíc c/ com defeito no sist de iluminação, sinaliz ou lâmpadas queimadas",26273,1528150,72.57103237357117
193,Transitar com o veículo em acostamentos,24189,1552339,73.71975514429676
230 IX,Conduzir o veículo com equipamento obrigatório ineficiente ou inoperante,24116,1576455,74.86501118377001
250 I e,"Em mov deix de man aces luz baixa de dia, em rod pis simp sit fora per urb, veíc desp luz rod diur",23337,1599792,75.9732729267285
230 IX,Conduzir o veículo sem equipamento obrigatório,23292,1623084,77.07939764357253
230 VI,Conduzir o veículo com qualquer uma das placas sem legibilidade e visibilidade,22912,1645996,78.1674763621167
165-A,"Rec sub test,ex clin, peric ou proc q perm cert infl alc/sub. psic for art.277",21256,1667252,79.17691251964877
230 XVI,"Conduzir veíc com vidro total/parcialmente coberto por película, painéis/pintura",20008,1687260,80.1270818196065
218 III,Transitar em velocidade superior à máxima permitida em mais de 50%,17439,1704699,80.95525067316322
252 IV,Dirigir o veíc usando calçado que ñ se firme nos pés/comprometa utiliz pedais,17134,1721833,81.76893523861084
193,Transitar com o veículo em marcas de canalização,14065,1735898,82.43687462305233
164 c/c 162 I,Permitir posse/condução do veículo a pessoa sem CNH/PPD/ACC,13704,1749602,83.08767030910896
202 I,Ultrapassar pelo acostamento,13537,1763139,83.73053525380747
168,Transportar criança sem observância das normas de segurança estabelecidas p/ CTB,13447,1776586,84.36912614627707
"252,§ unico",Dirigir veiculo manuseando telefone celular,10885,1787471,84.88604901863012
244 X,Conduzir motoc/ moton/ ciclom c/ útil capacete de seg c/ viseira/óculos prot em des c/ regul Contran,10085,1797556,85.36498031561501
"230, XXIII",Conduzir veíc de transp passag ou carga em desacordo c/ as cond do art 67-C CTB,9961,1807517,85.83802291841785
244 I,"Conduzir motocicleta, motoneta ou ciclomotor sem capacete de segurança",9737,1817254,86.30042788011758
185 II,Deixar de conservar nas faixas da direita o veículo lento e de maior porte,8955,1826209,86.72569607689495
230 VII,Conduzir o veículo com característica alterada,8711,1834920,87.13937684318502
231 II c,Transitar c/veíc derraman/lançando/arrastando objeto possa acarretar risco acidente,8647,1843567,87.55001828344564
231 V,Transitar com o veículo com excesso de peso PBT/PBTC,8565,1852132,87.95676558723103
192,Deixar guardar dist segurança lat/front entre seu veíc e demais e ao bordo pista,8115,1860247,88.34214262987182
221,Portar no veículo placas de identificação em desacordo c/ especif/modelo Contran,7828,1868075,88.71389019484928
244 II,"Conduzir motocicleta, motoneta e ciclomotor transportando passageiro s/ capacete",7610,1875685,89.07528505553893
230 IV,Conduzir o veículo sem qualquer uma das placas de identificação,7472,1883157,89.43012636947756
231 VII,Transitar com o veículo com lotação excedente,6942,1890099,89.7597982647348
231 VI,Transitar em desacordo c/ autorização expedida p/veículo c/ dimensões excedentes,6529,1896628,90.0698570092082
181 VII,Estacionar nos acostamentos,6452,1903080,90.37625906455243
165,Dirigir sob a influência de álcool,6075,1909155,90.66475759000441
196,"Deixar de indicar c/ antec, med gesto de braço/luz indicadora, mudança de faixa",5615,1914770,90.93141095961971
185 I,Deixar de conservar o veículo na faixa a ele destinada pela sinalização de regul,5414,1920184,91.18851894592375
"252,§ unico",Dirigir veiculo segurando telefone celular,5402,1925586,91.44505705859726
186 I,Transitar pela contramão de direção em via com duplo sentido de circulação,5310,1930896,91.69722614010342
230 XII,Conduzir o veículo com equipamento ou acessório proibido,5285,1936181,91.94820798487935
235,Conduzir carga nas partes externas do veículo,5183,1941364,92.19434590379583
169,Dirigir sem atenção ou sem os cuidados indispensáveis à segurança,5143,1946507,92.43858424394391
181 V,Estacionar na pista de rolamento das rodovias,4968,1951475,92.6745119269802
230 XI,Conduzir o veículo com descarga livre,4781,1956256,92.90155907927418
204,"Deixar de parar no acostamento à direita, p/ cruzar pista ou entrar à esquerda",4417,1960673,93.11132006477564
162 III,Dirigir veículo com CNH de categoria diferente da do veículo,4298,1964971,93.31542980344109
164 c/c 162 V,Permitir posse/condução do veíc a pessoa com CNH/PPD vencida há mais de 30 dias,4271,1969242,93.51825732643786
230 XIV,Conduzir veíc c/ registrador instan inalt de velocidade/tempo viciado/defeituoso,4046,1973288,93.71039971886235
237,Trans c/veíc desac c/especificação/falta de inscr/simbologia necessária identif,3980,1977268,93.89940780631895
