Month,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
12,992,3353,1881,2441,36934,7253,5360,6001,18423,7123,39532,32609,17395,6727,5533,10972,5969,19881,25031,7346,6909,1090,30135,16466,2932,39002,3575
1,1935,4145,1960,1065,29613,11819,3789,9814,12965,6152,25886,19957,15282,4518,8921,9599,6897,28441,47616,5390,7160,931,21648,9393,3347,35375,3320
6,1199,2133,1780,1048,33048,7611,7566,15296,18386,4014,39351,15812,14364,5398,5165,9545,5515,12865,47713,5028,7654,610,15623,14244,1053,29731,3272
3,1626,3892,1451,1136,38322,12586,7749,9687,26626,7029,38961,22607,15729,6392,7931,14336,8104,25538,45218,7639,9425,1255,23029,14372,3806,34265,3950
5,1056,2950,1658,1599,28583,11562,9927,14337,22472,4799,41442,15193,16188,7843,6707,14201,10491,18577,41165,6086,8190,703,19892,17870,3193,21472,3518
9,1082,4449,1801,1626,34947,10264,3117,16495,17573,6990,41478,19202,14088,6303,6126,10821,6535,15283,20197,7185,9287,1013,19967,16094,3539,30824,2282
4,1178,4175,2049,1670,42969,15011,13708,12860,25979,5965,51360,23967,14066,6836,7465,13093,8156,21734,48050,6544,8750,1523,23871,17591,3901,22893,3168
8,1109,2560,1520,1177,34006,10619,3562,15743,17892,7213,37185,19180,13121,6465,6425,9846,6136,16044,22501,6374,9161,907,18305,14365,2660,31345,2702
7,1491,1610,1450,876,32852,6897,8809,14789,18359,5540,29557,19015,12435,6650,4797,7816,5585,16983,36345,5192,6754,538,14714,12415,2429,31650,2698
10,1339,3767,1361,1827,41016,11813,3465,16637,16130,7777,40813,19403,15057,8147,7186,11859,6570,17804,24220,7429,7893,921,21528,17167,3874,35017,3019
11,655,3121,1631,1971,27145,8432,2187,11161,13768,4749,32376,20275,9131,5757,4434,11266,4508,17306,17399,5965,3558,1253,18383,14877,2936,28798,2983
2,1869,4442,1560,1290,37657,13540,4506,8171,21802,5899,30731,20966,15878,6924,7194,13019,10629,26903,43526,6567,8365,1289,24964,13186,3875,37702,3374
