Date,Violations_Count,Month,Day,moving_avarage
2023-01-01,10907,1,1,10907.0
2023-01-02,11276,1,2,11091.5
2023-01-03,12293,1,3,11492.0
2023-01-04,10635,1,4,11277.75
2023-01-05,10013,1,5,11024.8
2023-01-06,11531,1,6,11109.166666666666
2023-01-07,10728,1,7,11054.714285714286
2023-01-08,9993,1,8,10924.142857142857
2023-01-09,10615,1,9,10829.714285714286
2023-01-10,10434,1,10,10564.142857142857
2023-01-11,11228,1,11,10648.857142857143
2023-01-12,12380,1,12,10987.0
2023-01-13,11111,1,13,10927.0
2023-01-14,10048,1,14,10829.857142857143
2023-01-15,10369,1,15,10883.57142857143
2023-01-16,11374,1,16,10992.0
2023-01-17,11764,1,17,11182.0
2023-01-18,9747,1,18,10970.42857142857
2023-01-19,11617,1,19,10861.42857142857
2023-01-20,10636,1,20,10793.57142857143
2023-01-21,4512,1,21,10002.714285714286
2023-01-22,5649,1,22,9328.42857142857
2023-01-23,11182,1,23,9301.0
2023-01-24,10116,1,24,9065.57142857143
2023-01-25,11182,1,25,9270.57142857143
2023-01-26,7664,1,26,8705.857142857143
2023-01-27,8525,1,27,8404.285714285714
2023-01-28,7531,1,28,8835.57142857143
2023-01-29,8146,1,29,9192.285714285714
2023-01-30,8252,1,30,8773.714285714286
2023-01-31,7728,1,31,8432.57142857143
2023-02-01,8483,2,1,8047.0
2023-02-02,7288,2,2,7993.285714285715
2023-02-03,8328,2,3,7965.142857142857
2023-02-04,7314,2,4,7934.142857142857
2023-02-05,7724,2,5,7873.857142857143
2023-02-06,9120,2,6,7997.857142857143
2023-02-07,7623,2,7,7982.857142857143
2023-02-08,7024,2,8,7774.428571428572
2023-02-09,13772,2,9,8700.714285714286
2023-02-10,14747,2,10,9617.714285714286
2023-02-11,14527,2,11,10648.142857142857
2023-02-12,14881,2,12,11670.57142857143
2023-02-13,13908,2,13,12354.57142857143
2023-02-14,13889,2,14,13249.714285714286
2023-02-15,17124,2,15,14692.57142857143
2023-02-16,18406,2,16,15354.57142857143
2023-02-17,24556,2,17,16755.85714285714
2023-02-18,21180,2,18,17706.285714285714
2023-02-19,18820,2,19,18269.0
2023-02-20,18105,2,20,18868.571428571428
2023-02-21,23974,2,21,20309.285714285714
2023-02-22,24199,2,22,21320.0
2023-02-23,15033,2,23,20838.14285714286
2023-02-24,16887,2,24,19742.571428571428
2023-02-25,15401,2,25,18917.0
2023-02-26,18190,2,26,18827.0
2023-02-27,16304,2,27,18569.714285714286
2023-02-28,16757,2,28,17538.714285714286
2023-03-01,13891,3,1,16066.142857142857
2023-03-02,15372,3,2,16114.57142857143
2023-03-03,15218,3,3,15876.142857142857
2023-03-04,14794,3,4,15789.42857142857
2023-03-05,17467,3,5,15686.142857142857
2023-03-06,16988,3,6,15783.857142857143
2023-03-07,10799,3,7,14932.714285714286
2023-03-08,8304,3,8,14134.57142857143
