Infraction_State,Violations_Count,%violations_Count,cumulative_sum
MG,448672,0.10849220279998442,0.10849220279998442
RJ,418981,0.10131269974801252,0.20980490254799694
BA,417092,0.10085592559876949,0.31066082814676643
SP,378074,0.09142108507194859,0.402081913218715
RS,252059,0.06094972751934882,0.4630316407380638
MS,248186,0.06001320751933915,0.5230448482574029
PR,237359,0.05739515896780165,0.5804400072252046
GO,230375,0.05570637619474006,0.6361463834199447
SC,178040,0.04305138672907877,0.6791977701490235
MT,172734,0.04176835674713936,0.7209661268961629
ES,150991,0.03651073878684752,0.7574768656830104
PE,136373,0.032975998440825986,0.7904528641238364
CE,127407,0.03080795343176667,0.8212608175556031
RO,93106,0.02251371833743882,0.843774535893042
PI,85095,0.020576599380537842,0.8643511352735798
PA,77960,0.01885130369242294,0.8832024389660027
PB,77884,0.018832926331204057,0.9020353652972067
RN,76745,0.018557507720305268,0.920592873017512
DF,73745,0.017832085566928293,0.9384249585844403
MA,73250,0.017712390911621093,0.9561373494960614
AL,40597,0.00981665438688166,0.9659540038829431
TO,37861,0.00915506938300186,0.9751090732659449
SE,37545,0.009078658249512818,0.9841877315154577
AM,20102,0.004860812042394638,0.9890485435578523
AP,17726,0.004286277696920075,0.9933348212547723
AC,15531,0.0037555104880325897,0.9970903317428049
RR,12033,0.0029096682571950394,1.0
